Factor,Years gained / lost,strength of science?,strength of science as a number,sexes affected,effect,Comment,Note,ID,Sources,Links
Smoking,-10,strong,3,Both,negative,10 years gained (against those who continue to smoke) if you quit smoking between the ages of 25 and 24; 5 years gained if you quit smoking between the ages of 45 and 59,"14 if combined with exercise and eating healthy; HOWEVER those who quit smoking before they turn 35 can gain most if not all of that decade back, and even those who wait until middle age to kick the habit can add about five years back to their life expectancies.",1,"Khaw KT, et al. (2008). Combined impact of health behaviours and mortality in men and women: the EPIC Norfolk prospective population study. PLoS Medicine 5(1), 39–47.",http://www.washingtonpost.com/wp-dyn/articles/A61981-2004Jun22.html
Sitting Down,-3,suggestive,1,Both,negative,for 8-11 hours sitting a day,"No matter how much you exercise, sitting too much raises your risk of death. Regardless of whether you’re exercising for 5 hours a week, the fact that you’re sitting for the rest raises the risk of death: you can’t outrun your desk job. Compared to 4 hours per day of sitting, mortality rates for 4-8 sitting hours/day were 3.96% higher, 8-11 sitting h/d were 28% higher, 11+ sitting hours/day were 68.57% higher, regardless of the amount of exercise done.",2,Sydney School of Public Health research paper (2012),http://www.ncbi.nlm.nih.gov/pubmed/22450936
Too much sleeping,-1.5,suggestive,1,Both,negative,"7 hours ideal, no more than 8 hrs a night","Averaging more than 8 hours sleep a night will increase your chances of dying within 6 years by 13-15%, than if you average 7 hours a night. 7 hours sleep = the 'safest'; but sleeping for five hours a night is less risky than eight; the average sleep time in the western world is now 6.5 hours",3,New Scientist,http://www.newscientist.com/article/dn1928-seven-hours-sleep-the-safest.html
Obesity,-8.5,strong,3,Both,negative,,"In one study, US 18 year olds with a BMI above 35 had a life expectancy reduced by five to 12 years depending on race, sex, and whether or not the person smoked. The largest reduction in life expectancy occurred for white male smokers.",12,NIH News,www.nih.gov/news/pr/mar2005/nia-16.htm
More Optimism,2,suggestive,1,Female,positive,& faith in fellow humans. calc takes average % of optimism / lack of cynicism,Women within the highest 25% of optimism scores had a 9% lower chance of developing heart disease and a 14% lower chance of dying of any cause. Women with the highest degree of cynical hostility were 16% more likely to die than those with the most trust in their fellow humans.,4,"Source: Hilary A. Tindle, M.D., assistant professor, medicine, University of Pittsburgh; Suzanne Steinbaum, M.D., director, woman and heart disease, Lenox Hill Hospital, New York City; Aug. 10, 2009, Circulation",www.nlm.nih.gov/medlineplus/news/fullstory_87950.html
Healthy Eating,7,strong,3,Both,positive,Japanese / Mediterannean diet will lengthen life & reduce risks of cancer. calc applies to mediterannean diet only,"Figure given for Mediterannean diet. JAPANESE: A diet comprising one-third less than the recommended 2,300 calories and meals including fish, vegetables and soya products, was cited as the reason for a high life expectancy on the Japanese island of Okinawa, where the world’s highest number of people over 90 live. MEDITERANNEAN: In people ages 70–90, eating a Mediterranean-style diet and greater physical activity are associated with 65–73% lower rates of all-cause mortality, as well as mortality due to CHD, CVD and cancer. ",7,Amazon (book) The Okinawa Program : How the World's Longest-Lived People Achieve Everlasting Health (2002); American Heart Association (2009),http://www.amazon.com/Okinawa-Program-Longest-Lived-Everlasting-Health/dp/0609807501
Alcohol (heavy abuse),-11,good,2,Both,positive,a lot is bad,Alcoholism reduces life expectancy by about 10 - 12 years.,9,New York Times,http://health.nytimes.com/health/guides/disease/alcoholism/possible-complications.html
City living,-2.5,suggestive,1,Both,positive,or living near a busy road,"According to a Canada’s McMaster University study, just living next to a busy road could knock 2.5 years off your life due to increased exposure to traffic air pollution",10,2004 study by Murray Finkelstein @ Canada McMaster University,http://aje.oxfordjournals.org/content/160/2/173.full
Mental Illness,-25,strong,3,Both,positive,severe,Study found that those with severe mental illness are two to three times more likely to have chronic medical conditions and have a 25-year shorter life expectancy on average than the general population,11,"Joseph Parks, director of psychiatric services for the Missouri Department of Mental Health.",http://www.healio.com/psychiatry/journals/PsycAnn/%7B9D5D6D5E-31F4-4180-9BA8-4B71AE8D6617%7D/Mental-Health-Community-Case-Management-and-Its-Effect-on-Healthcare-Expenditures
More Health Checks #2,0.14,good,2,Both,positive,preventative health screening in 30-49 year olds,Preventive health screening and consultation in primary care in 30- to 49-year-olds produce significantly better life expectancy without extra direct and total costs over a six-year follow-up period.,13,National Center for Biotechnology Information,http://www.ncbi.nlm.nih.gov/pubmed/17786799
Living at high altitude,2,strong,3,"Both, but esp. for men",positive,"compared to living at sea-level. 0.5-2.5 for women, 1.2-3.6 for men. ","""Lower oxygen levels turn on certain genes and we think those genes may change the way heart muscles function. They may also produce new blood vessels that create new highways for blood flow into the heart, also increased solar radiation at altitude helps the body better synthesize vitamin D which has also been shown to have beneficial effects on the heart and some kinds of cancer.."" mountain village residents had lower death rates, and lower rates of death from heart disease, than their peers in the lowlands; concluded that high altitude enables the body to cope with lower levels of oxygen & made for a healthier heart. ",14,"based on a study by University of Athens Medical School in Journal of Epidemiology and Community Health, March 2005; BBC News",http://www.medicalnewstoday.com/releases/21265.php
Less Food,11.67,suggestive,1,Both,positive,30% less calories increases primate and rat life. assumes humans affected same way as monkeys,shown to increase rhesus monkey lifespans by 10-20% (4 years); the most striking extensions of life span occur when put on the diet from birth.,16,New Scientist; New York Times,www.newscientist.com/article/mg20327175.600-eating-less-may-be-the-key-to-living-longer.html
More Meditation,12,suggestive,1,Both,positive,as well as Yoga / Tai Chi - as relaxation exercises they all reduce health risks in older people,"A study of 2,000 seniors found that those who did relaxation exercises daily had 87% fewer heart attacks than is normal for their age group; 55% fewer cancerous tumors; & 87% fewer nervous disorders. ",17,Marmot M (2005) 'Social determinants of longevity and mortality',http://sagecrossroads.net/webcast26
"a lifestyle of non-smoking, exercising, and healthy eating",14,strong,3,Both,positive,,"study of 20,244 men and women aged 45–79 found that 4 health behaviours (non-smoking / physically active / healthy eating / moderate alcohol intake) had an estimated impact on mortality equivalent to 14 y in chronological age",19,"Khaw KT, et al. (2008). Combined impact of health behaviours and mortality in men and women: the EPIC Norfolk prospective population study. PLoS Medicine 5(1), 39–47.",http://www.plosmedicine.org/article/info:doi/10.1371/journal.pmed.0050012
Avoid Cancer,15,suggestive,1,Both,positive,,"gain in life expectancy at birth for those individuals who would have died of cancer = 15 years.

The gains in life expectancy due to the elimination of cancer as a cause of death are then 3.35 years at birth and 3.12 years at age 50 - this is a gain in life expectancy spread across the WHOLE population though.",21,Centres for Disease Control & Prevention,http://www.cdc.gov/nchs/data/lifetables/life89_1_4.pdf
